recorder_code,clip id,annotation_file,card,site,dropoff:Point_ID,audio_file,annotation,start_time,end_time,low_f,high_f,Delta Time (s),Delta Freq (Hz),Channel,Selection,Notes,View,Avg Power Density (dB FS/Hz)
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_?,19.538825789,19.746172674,488.547,1254.793,0.2073,766.247,1,11,,Spectrogram 1,-66.31
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_?,19.873770757,20.128966924,570.828,1331.932,0.2552,761.104,1,12,,Spectrogram 1,-72.59
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_A,21.747867605,21.923314969,627.397,1223.938,0.1754,596.541,1,13,,Spectrogram 1,-69.22
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_A,22.377883141,22.561305385,503.974,1285.649,0.1834,781.674,1,14,,Spectrogram 1,-67.93
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_?,26.087629597,26.390675044,524.545,1270.221,0.303,745.676,1,15,,Spectrogram 1,-72.95
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_E,26.653846091,26.98879106,514.259,1285.649,0.3349,771.389,1,16,,Spectrogram 1,-71.75
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_?,27.347660669,27.650706116,514.259,1301.076,0.303,786.817,1,17,,Spectrogram 1,-70.81
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_?,28.025525486,28.448194137,478.261,1342.217,0.4227,863.956,1,18,,Spectrogram 1,-71.22
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_A,28.639591262,29.022385511,503.974,1321.647,0.3828,817.673,1,19,,Spectrogram 1,-70.17
M12-2574,487,20240620_050000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0487_MSD-2087_20240620_050000.WAV,RASI_D,29.620501526,29.827848412,545.115,1604.49,0.2073,1059.375,1,20,,Spectrogram 1,-68.89
M12-2564,319,20240502_090000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0319_MSD-4160_20240502_090000.WAV,RASI_?,21.045540122,22.329495834,329.126,1285.649,1.284,956.523,1,1,,Spectrogram 1,-69.46
M12-2564,319,20240502_090000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0319_MSD-4160_20240502_090000.WAV,RASI_?,23.31481986,24.351554287,293.128,1568.491,1.0367,1275.364,1,2,,Spectrogram 1,-65.27
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,u,0.598219758,1.081435734,502.346,786.281,0.4832,283.935,1,1,,Spectrogram 1,-66.74
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,u,2.470681665,2.941817241,485.965,939.169,0.4711,453.204,1,2,,Spectrogram 1,-70.61
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,u,3.219666427,4.065294385,273.014,1031.994,0.8456,758.979,1,3,,Spectrogram 1,-64.67
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,u,5.152530331,5.527022712,464.124,982.851,0.3745,518.727,1,4,,Spectrogram 1,-64.03
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_C,6.686741054,7.037072636,393.14,1332.309,0.3503,939.169,1,5,,Spectrogram 1,-65.89
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_C,7.894780993,8.522961762,453.204,1512.499,0.6282,1059.295,1,7,,Spectrogram 1,-69.95
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_?,11.486365251,11.897098831,436.823,1419.674,0.4107,982.851,1,8,,Spectrogram 1,-64.37
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_?,12.863530783,13.491711551,469.584,1545.26,0.6282,1075.676,1,9,,Spectrogram 1,-66.94
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_C,14.5064651,15.074243872,305.776,1774.592,0.5678,1468.816,1,10,,Spectrogram 1,-61.05
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_C,15.980273827,16.499731001,354.918,1638.085,0.5195,1283.167,1,11,,Spectrogram 1,-61.54
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_C,17.925218129,18.348032108,251.173,2074.908,0.4228,1823.735,1,12,,Spectrogram 1,-61.08
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_?,18.553398898,19.459428853,327.617,819.043,0.906,491.426,1,13,,Spectrogram 1,-66.88
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_?,19.877632931,20.783662885,240.252,1752.751,0.906,1512.499,1,14,,Spectrogram 1,-66.67
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_?,22.656124792,23.163501566,267.554,2205.955,0.5074,1938.401,1,15,,Spectrogram 1,-62.73
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_C,23.954988037,24.607329604,267.554,982.851,0.6523,715.297,1,16,,Spectrogram 1,-59.76
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_C,25.126786778,26.165701126,169.269,1244.945,1.0389,1075.676,1,17,,Spectrogram 1,-52.45
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_?,26.721399499,27.542866657,485.965,1010.153,0.8215,524.187,1,18,,Spectrogram 1,-65.99
M12-2263,137,20240623_180000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0137_MSD-4278_20240623_180000.WAV,RASI_C,28.448896612,28.968353786,414.982,895.487,0.5195,480.505,1,19,,Spectrogram 1,-61.62
M12-2574,490,20240620_080000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0490_MSD-2087_20240620_080000.WAV,RASI_A,3.604645852,3.883766659,498.832,1265.078,0.2791,766.247,1,1,,Spectrogram 1,-70.15
M12-2574,490,20240620_080000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0490_MSD-2087_20240620_080000.WAV,RASI_C,11.090825624,11.306147389,514.259,1347.36,0.2153,833.1,1,2,,Spectrogram 1,-72.22
M12-2574,490,20240620_080000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0490_MSD-2087_20240620_080000.WAV,RASI_A,12.765550466,12.980872232,555.4,1697.056,0.2153,1141.656,1,3,,Spectrogram 1,-62.32
M12-2574,490,20240620_080000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0490_MSD-2087_20240620_080000.WAV,RASI_?,21.187437339,21.418708864,539.972,1136.513,0.2313,596.541,1,4,,Spectrogram 1,-71.56
M12-2574,490,20240620_080000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0490_MSD-2087_20240620_080000.WAV,RASI_D,22.678739936,22.925961223,503.974,874.241,0.2472,370.267,1,5,,Spectrogram 1,-69.62
M12-2574,490,20240620_080000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0490_MSD-2087_20240620_080000.WAV,RASI_?,24.337515019,24.504987503,519.402,822.815,0.1675,303.413,1,6,,Spectrogram 1,-68.8
M12-2574,490,20240620_080000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0490_MSD-2087_20240620_080000.WAV,RASI_A,29.127709562,29.351006208,555.4,1429.641,0.2233,874.241,1,7,,Spectrogram 1,-64.49
M12-2639,724,20240616_110000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0724_MSD-2357_20240616_110000.WAV,RASI_?,1.626875561,1.98574517,329.126,1187.939,0.3589,858.813,1,1,,Spectrogram 1,-66.06
M12-2639,724,20240616_110000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0724_MSD-2357_20240616_110000.WAV,RASI_?,6.898271375,7.273090745,334.269,822.815,0.3748,488.547,1,2,,Spectrogram 1,-66.75
M12-2639,724,20240616_110000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0724_MSD-2357_20240616_110000.WAV,RASI_?,8.517172056,9.06743879,349.696,1028.519,0.5503,678.823,1,3,,Spectrogram 1,-70.38
M12-2639,724,20240616_110000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0724_MSD-2357_20240616_110000.WAV,RASI_?,13.892215446,14.219185534,359.982,627.397,0.327,267.415,1,4,,Spectrogram 1,-69.97
M12-2639,724,20240616_110000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0724_MSD-2357_20240616_110000.WAV,RASI_?,20.925656997,21.420099569,524.545,1141.656,0.4944,617.111,1,5,,Spectrogram 1,-69.3
M12-2639,724,20240616_110000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0724_MSD-2357_20240616_110000.WAV,RASI_?,23.764714349,24.059784916,488.547,1213.652,0.2951,725.106,1,6,,Spectrogram 1,-67.43
M12-2639,724,20240616_110000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0724_MSD-2357_20240616_110000.WAV,RASI_A,26.721484393,26.944781039,390.837,1182.797,0.2233,791.96,1,7,,Spectrogram 1,-69.26
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,16.845726037,17.676597277,305.499,1564.155,0.8309,1258.656,1,1,,Spectrogram 1,-64.5
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,17.936244539,18.429574338,370.672,1653.768,0.4933,1283.096,1,2,,Spectrogram 1,-60.05
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,18.819045232,19.455181024,350.305,1568.228,0.6361,1217.923,1,3,,Spectrogram 1,-61.4
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,19.805704829,20.5197348,187.373,1702.648,0.714,1515.275,1,4,,Spectrogram 1,-60.32
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,21.337623677,21.97375947,309.572,1780.041,0.6361,1470.468,1,5,,Spectrogram 1,-59.91
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_E,23.200234506,23.979176293,224.033,1002.037,0.7789,778.004,1,6,,Spectrogram 1,-64.35
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,24.38162955,25.043730069,89.613,1450.102,0.6621,1360.489,1,7,,Spectrogram 1,-52.37
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,25.459165689,25.861618946,81.466,1527.495,0.4025,1446.029,1,9,,Spectrogram 1,-51.81
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,26.199160387,26.666525459,52.953,1771.894,0.4674,1718.941,1,10,,Spectrogram 1,-46.13
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,26.848278543,27.497396699,69.246,1812.627,0.6491,1743.381,1,11,,Spectrogram 1,-41.21
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,27.990726498,28.406162117,16.293,1592.668,0.4154,1576.375,1,12,,Spectrogram 1,-35.44
M12-2263,151,20240623_010000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0151_MSD-4278_20240623_010000.WAV,RASI_C,28.821597737,29.535627709,12.22,1641.548,0.714,1629.328,1,13,,Spectrogram 1,-39.4
M12-2619,632,20240609_010000,MSD-2053,Matlock 50837,SINE0030,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0632_MSD-2053_20240609_010000.WAV,RASI_?,16.788586445,17.035807731,318.841,1002.806,0.2472,683.965,1,1,,Spectrogram 1,-68.48
M12-2619,632,20240609_010000,MSD-2053,Matlock 50837,SINE0030,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0632_MSD-2053_20240609_010000.WAV,RASI_?,19.236874667,19.468146193,365.124,1043.947,0.2313,678.823,1,2,,Spectrogram 1,-69.44
M12-2275,446,20240719_002000,MSD-2271,Kern 21111,SINE0107,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0446_MSD-2271_20240719_002000.WAV,RASI_C,7.759558437,8.150327567,282.843,1506.78,0.3908,1223.938,1,1,,Spectrogram 1,-70.37
M12-2275,446,20240719_002000,MSD-2271,Kern 21111,SINE0107,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0446_MSD-2271_20240719_002000.WAV,RASI_C,25.89816124,26.265005729,61.711,1229.08,0.3668,1167.369,1,2,,Spectrogram 1,-65.54
M12-2636,596,20240607_100000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0596_MSD-1762_20240607_100000.WAV,RASI_?,19.204554102,19.714946435,226.274,910.239,0.5104,683.965,1,1,,Spectrogram 1,-64.59
M12-2636,596,20240607_100000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0596_MSD-1762_20240607_100000.WAV,RASI_?,20.903203585,21.285997834,241.702,941.095,0.3828,699.393,1,2,,Spectrogram 1,-63.93
M12-2636,596,20240607_100000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0596_MSD-1762_20240607_100000.WAV,RASI_?,22.482229865,22.928823156,205.704,977.093,0.4466,771.389,1,3,,Spectrogram 1,-63.44
M12-2636,596,20240607_100000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0596_MSD-1762_20240607_100000.WAV,RASI_?,24.25495894,24.62977831,210.846,1265.078,0.3748,1054.232,1,4,,Spectrogram 1,-60.21
M12-2636,596,20240607_100000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0596_MSD-1762_20240607_100000.WAV,RASI_?,25.084346481,25.554864413,159.42,1177.654,0.4705,1018.234,1,5,,Spectrogram 1,-60.67
M12-2636,596,20240607_100000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0596_MSD-1762_20240607_100000.WAV,RASI_?,26.145005548,26.551724438,118.28,1115.943,0.4067,997.663,1,6,,Spectrogram 1,-53.31
M12-2636,596,20240607_100000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0596_MSD-1762_20240607_100000.WAV,RASI_?,27.373137099,27.755931349,174.848,1311.362,0.3828,1136.513,1,7,,Spectrogram 1,-55.22
M12-2636,596,20240607_100000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0596_MSD-1762_20240607_100000.WAV,RASI_?,28.768561774,29.127431383,133.707,1213.652,0.3589,1079.945,1,8,,Spectrogram 1,-56.26
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_A,0.031899521,0.287095687,267.415,925.667,0.2552,658.252,1,1,,Spectrogram 1,-69.79
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_?,8.706596347,9.009641794,329.126,982.236,0.303,653.11,1,2,,Spectrogram 1,-73.43
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_A,9.400410924,9.687506611,298.27,1064.517,0.2871,766.247,1,3,,Spectrogram 1,-70.77
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_E,10.126125023,10.397270949,262.272,1064.517,0.2711,802.245,1,4,,Spectrogram 1,-67.97
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_E,10.80398984,11.154884569,282.843,1033.662,0.3509,750.819,1,5,,Spectrogram 1,-72.53
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_A,11.721101063,11.952372589,267.415,1033.662,0.2313,766.247,1,6,,Spectrogram 1,-72.47
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_A,12.422890521,12.725935969,236.559,1115.943,0.303,879.384,1,7,,Spectrogram 1,-66.76
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_E,13.340001744,13.698871353,215.989,1223.938,0.3589,1007.949,1,8,,Spectrogram 1,-68.1
M12-2318,458,20240620_130000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0458_MSD-2334_20240620_130000.WAV,RASI_E,14.304962249,14.73560578,272.558,1162.226,0.4306,889.669,1,9,,Spectrogram 1,-68.11
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_A,1.491302598,1.95384565,251.987,2221.601,0.4625,1969.614,1,1,,Spectrogram 1,-48.23
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_?,2.839057352,3.453123128,370.267,1064.517,0.6141,694.25,1,2,,Spectrogram 1,-66.73
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_A,4.290485549,4.545681715,344.554,1069.66,0.2552,725.106,1,3,,Spectrogram 1,-60.47
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_E,4.617455637,5.079998689,431.978,992.521,0.4625,560.543,1,4,,Spectrogram 1,-67.06
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_E,5.957235511,6.946120656,246.845,1594.204,0.9889,1347.36,1,5,,Spectrogram 1,-52.89
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_A,6.978020177,7.448538109,375.409,1681.628,0.4705,1306.219,1,6,,Spectrogram 1,-54.43
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_E,8.565021337,9.394408878,370.267,1383.358,0.8294,1013.091,1,7,,Spectrogram 1,-56.11
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_A,9.474157681,9.83302729,349.696,910.239,0.3589,560.543,1,8,,Spectrogram 1,-52.97
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_A,10.764671721,11.099616689,359.982,694.25,0.3349,334.269,1,9,,Spectrogram 1,-63.88
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_A,11.219239892,11.5382351,344.554,714.821,0.319,370.267,1,10,,Spectrogram 1,-55.83
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_E,11.53026022,12.144325996,323.983,1023.376,0.6141,699.393,1,11,,Spectrogram 1,-62.01
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_E,12.830165693,13.436256589,318.841,1506.78,0.6061,1187.939,1,12,,Spectrogram 1,-46.61
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_E,15.495104024,16.085245159,246.845,1465.64,0.5901,1218.795,1,13,,Spectrogram 1,-49.0
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_A,16.244742763,16.627537013,416.55,647.967,0.3828,231.417,1,14,,Spectrogram 1,-64.76
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_?,17.034255904,17.815794163,329.126,1105.658,0.7815,776.532,1,15,,Spectrogram 1,-58.33
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_E,18.445809699,19.338996282,365.124,1635.345,0.8932,1270.221,1,16,,Spectrogram 1,-62.82
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_?,20.575102713,21.189168489,277.7,1085.087,0.6141,807.387,1,17,,Spectrogram 1,-53.51
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_A,21.957798282,22.64363798,359.982,1347.36,0.6858,987.378,1,18,,Spectrogram 1,-62.27
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_E,22.731361662,23.664422646,205.704,1383.358,0.9331,1177.654,1,19,,Spectrogram 1,-48.62
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_B,24.063166656,25.099901082,390.837,1486.21,1.0367,1095.373,1,20,,Spectrogram 1,-64.37
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_?,25.825373497,26.391589991,365.124,1295.934,0.5662,930.81,1,21,,Spectrogram 1,-66.87
M12-2484,376,20240610_070000,MSD-4197,Howard Pond_,SINE0156,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0376_MSD-4197_20240610_070000.WAV,RASI_B,26.862107923,27.555922501,370.267,1172.512,0.6938,802.245,1,22,,Spectrogram 1,-65.24
